bus_region,name
NAM1_AC,Kavango
NAM2_AC,Ohangwena
NAM3_AC,Omaheke
NAM4_AC,Omusati
NAM5_AC,Oshana
NAM6_AC,Oshikoto
NAM7_AC,Otjozondjupa
NAM8_AC,Zambezi
NAM9_AC,Windhoek Rural
NAM10_AC,Berseba
NAM11_AC,Karas
NAM12_AC,Luderitz
NAM13_AC,Oranjemund
NAM14_AC,Arandis
NAM15_AC,Daures
NAM16_AC,Karibib
NAM17_AC,Omaruru
NAM18_AC,Swakopmund
NAM19_AC,Walvisbay Rural
NAM20_AC,Walvisbay Urban
NAM21_AC,Gibeon
NAM22_AC,Mariental Rural
NAM23_AC,Mariental Urban
NAM24_AC,Rehoboth Rural
NAM25_AC,Khorixas
NAM26_AC,Opuwo
NAM27_AC,Kamanjab
NAM28_AC,Rehoboth East Urban
NAM29_AC,Keetmanshoop
NAM30_AC,Windhoek Urban
